CountyCode,CountyName,DistrictCode,DistrictName,SchoolCode,SchoolName,ELAProf_Score,ELAProf_Weight,MathProf_Score,MathProf_Weight,Grad4YR_Score,Grad4YR_Weight,Grad5YR_Score,Grad5YR_Weight,ELAGrowth_Score,ELAGrowth_Weight,MathGrowth_Score,MathGrowth_Weight,ELP_Score,ELP_Weight,CA_Score,CA_Weight,SummativeScore,SummativeRating,CompSupport_Bottom5%,CompSupport_Grad67,AccountabilityIndicator,IndicatorScore,IndicatorWeight,Year
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,020,BERGEN COUNTY ACADEMIES,98.85,17.5%,99.71,17.5%,85.10,25.0%,87.64,25.0%,9999999,9999999,9999999,9999999,9999999,9999999,92.24,15.0%,91.77,95.70,No,No,NA,NA,NA,2017-18
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,070,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,100.00,17.5%,97.99,17.5%,96.85,25.0%,83.91,25.0%,9999999,9999999,9999999,9999999,9999999,9999999,97.13,15.0%,94.41,97.99,No,No,NA,NA,NA,2017-18
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,300,APPLIED TECHNOLOGY HIGH SCHOOL,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,NA,NA,NA,2017-18
03,BERGEN,0300,BERGENFIELD BORO,020,BERGENFIELD HIGH SCHOOL,67.05,15.0%,57.02,15.0%,75.07,20.0%,60.34,20.0%,9999999,9999999,9999999,9999999,76.36,20.0%,85.06,10.0%,69.47,74.21,No,No,NA,NA,NA,2017-18
03,BERGEN,0300,BERGENFIELD BORO,040,FRANKLIN ELEMENTARY SCHOOL,61.91,15.0%,75.77,15.0%,9999999,9999999,9999999,9999999,62.91,20.0%,1.13,20.0%,94.89,20.0%,92.39,10.0%,61.68,69.43,No,No,NA,NA,NA,2017-18
03,BERGEN,0300,BERGENFIELD BORO,050,HOOVER ELEMENTARY SCHOOL,47.16,17.5%,47.93,17.5%,9999999,9999999,9999999,9999999,63.51,25.0%,25.99,25.0%,9999999,9999999,95.74,15.0%,53.38,54.68,No,No,NA,NA,NA,2017-18
03,BERGEN,0300,BERGENFIELD BORO,060,JEFFERSON ELEMENTARY SCHOOL,89.69,17.5%,79.80,17.5%,9999999,9999999,9999999,9999999,41.65,25.0%,65.58,25.0%,9999999,9999999,98.50,15.0%,71.24,81.10,No,No,NA,NA,NA,2017-18
03,BERGEN,0300,BERGENFIELD BORO,070,LINCOLN ELEMENTARY SCHOOL,79.50,15.0%,70.97,15.0%,9999999,9999999,9999999,9999999,62.32,20.0%,4.45,20.0%,64.89,20.0%,80.04,10.0%,56.91,60.66,No,No,NA,NA,NA,2017-18
03,BERGEN,0300,BERGENFIELD BORO,075,ROY W. BROWN MIDDLE SCHOOL,65.28,15.0%,41.29,15.0%,9999999,9999999,9999999,9999999,46.68,20.0%,12.88,20.0%,44.89,20.0%,97.78,10.0%,46.66,43.66,No,No,NA,NA,NA,2017-18
03,BERGEN,0300,BERGENFIELD BORO,080,WASHINGTON ELEMENTARY SCHOOL,72.10,17.5%,82.94,17.5%,9999999,9999999,9999999,9999999,73.34,25.0%,42.08,25.0%,9999999,9999999,98.86,15.0%,70.81,80.51,No,No,NA,NA,NA,2017-18
03,BERGEN,0440,BOGOTA BORO,020,BOGOTA JR./SR. HIGH SCHOOL,75.00,12.5%,54.17,12.5%,44.68,15.0%,36.17,15.0%,12.50,15.0%,2.22,15.0%,9999999,9999999,63.64,15.0%,40.03,37.50,No,No,NA,NA,NA,2017-18
03,BERGEN,0440,BOGOTA BORO,030,E. ROY BIXBY,66.05,17.5%,83.59,17.5%,9999999,9999999,9999999,9999999,86.43,25.0%,89.14,25.0%,9999999,9999999,70.74,15.0%,80.69,91.82,No,No,NA,NA,NA,2017-18
03,BERGEN,0440,BOGOTA BORO,050,LILLIAN M. STEEN,78.38,17.5%,76.01,17.5%,9999999,9999999,9999999,9999999,79.80,25.0%,53.41,25.0%,9999999,9999999,52.94,15.0%,68.26,78.02,No,No,NA,NA,NA,2017-18
03,BERGEN,0740,CARLSTADT BORO,050,CARLSTADT PUBLIC SCHOOL,55.39,15.0%,28.91,15.0%,9999999,9999999,9999999,9999999,65.23,20.0%,32.70,20.0%,42.77,20.0%,46.64,10.0%,45.45,41.65,No,No,NA,NA,NA,2017-18
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,050,HENRY P. BECTON REGIONAL HIGH SCHOOL,65.62,17.5%,26.07,17.5%,83.95,25.0%,63.51,25.0%,9999999,9999999,9999999,9999999,9999999,9999999,54.02,15.0%,61.01,64.47,No,No,NA,NA,NA,2017-18
