CountyCode,CountyName,DistrictCode,DistrictName,SchoolCode,SchoolName,StudentDeviceRatio,Year
03,BERGEN,4370,RIDGEFIELD BORO,100,SLOCUM SKEWES SCHOOL,1.1:1,2017-18
03,BERGEN,4380,RIDGEFIELD PARK TWP,050,RIDGEFIELD PARK JR SR HIGH SCHOOL,5.4:1,2017-18
03,BERGEN,4380,RIDGEFIELD PARK TWP,060,GRANT ELEMENTARY SCHOOL,2.1:1,2017-18
03,BERGEN,4380,RIDGEFIELD PARK TWP,070,LINCOLN ELEMENTARY SCHOOL,2.4:1,2017-18
03,BERGEN,4380,RIDGEFIELD PARK TWP,080,ROOSEVELT  ELEMENTARY SCHOOL,3.2:1,2017-18
03,BERGEN,4380,RIDGEFIELD PARK TWP,300,THOMAS JEFFERSON EARLY LEARNING CENTER,NA,2017-18
03,BERGEN,4390,RIDGEWOOD VILLAGE,050,RIDGEWOOD HIGH SCHOOL,1:1,2017-18
03,BERGEN,4390,RIDGEWOOD VILLAGE,060,BENJAMIN FRANKLIN MIDDLE SCHOOL,1.0:1,2017-18
03,BERGEN,4390,RIDGEWOOD VILLAGE,070,GEORGE WASHINGTON MIDDLE SCHOOL,1:1,2017-18
03,BERGEN,4390,RIDGEWOOD VILLAGE,080,GLEN SCHOOL,NA,2017-18
03,BERGEN,4390,RIDGEWOOD VILLAGE,085,HAWES ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,4390,RIDGEWOOD VILLAGE,090,RIDGE ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,4390,RIDGEWOOD VILLAGE,100,SOMERVILLE ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,4390,RIDGEWOOD VILLAGE,110,TRAVELL ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,4390,RIDGEWOOD VILLAGE,120,ORCHARD ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,4390,RIDGEWOOD VILLAGE,130,WILLARD ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,4405,RIVER DELL REGIONAL,050,RIVER DELL REGIONAL HIGH SCHOOL,1:1,2017-18
03,BERGEN,4405,RIVER DELL REGIONAL,060,RIVER DELL MIDDLE SCHOOL,1:1,2017-18
03,BERGEN,4410,RIVER EDGE BORO,030,CHERRY HILL SCHOOL,1:1,2017-18
03,BERGEN,4410,RIVER EDGE BORO,050,ROOSEVELT SCHOOL,1:1,2017-18
03,BERGEN,4430,RIVER VALE TWP,050,HOLDRUM MIDDLE SCHOOL,1:1,2017-18
03,BERGEN,4430,RIVER VALE TWP,060,ROBERGE ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,4430,RIVER VALE TWP,070,WOODSIDE ELEMENTARY SCHOOL,1:1,2017-18
